SEARCH_STRING,L1_CATEGORY,L2_CATEGORY,CURRENT_VOLUME,YOY_VOLUME,RAW_YOY_GROWTH,YOY_ADJUSTED_GROWTH,SEASONALITY_FLAG,SEASONALITY_SCORE
condom,hygiene and wellness,sexual wellness,58652,,,,SEASONAL_NORMAL,50
face wash,bath body and hair,face wash and scrub,51484,,,,SEASONAL_NORMAL,50
shampoo,bath body and hair,shampoo and conditioner,50113,,,,SEASONAL_NORMAL,50
coconut oil,bath body and hair,hair oil and serum,48614,,,,SEASONAL_NORMAL,50
toothbrush,hygiene and wellness,oral care,46888,,,,SEASONAL_NORMAL,50
toothpaste,hygiene and wellness,oral care,46856,,,,SEASONAL_NORMAL,50
lip balm,beauty and grooming,face and lip care,45533,,,,SEASONAL_NORMAL,50
sunscreen,bath body and hair,face cream,44304,,,,SEASONAL_NORMAL,50
sanitary pads,hygiene and wellness,feminine hygiene,43445,,,,SEASONAL_NORMAL,50
body wash,bath body and hair,shower gel,43418,,,,SEASONAL_NORMAL,50
body lotion,bath body and hair,body lotion,42532,,,,SEASONAL_NORMAL,50
handwash,hygiene and wellness,hand wash and sanitizer,40936,,,,SEASONAL_NORMAL,50
perfumes,bath body and hair,"perfumes, deos and talc",38337,,,,SEASONAL_NORMAL,50
colgate,hygiene and wellness,oral care,36852,,,,SEASONAL_NORMAL,50
cetaphil cleanser,bath body and hair,face wash and scrub,36434,,,,SEASONAL_NORMAL,50
soaps,bath body and hair,soap,36040,,,,SEASONAL_NORMAL,50
soap,bath body and hair,soap,36002,,,,SEASONAL_NORMAL,50
pregnancy kit,hygiene and wellness,basic pharma,35719,,,,SEASONAL_NORMAL,50
pads,hygiene and wellness,feminine hygiene,35298,,,,SEASONAL_NORMAL,50
medicine,hygiene and wellness,basic pharma,35041,,,,SEASONAL_NORMAL,50
hair serum,bath body and hair,hair oil and serum,34111,,,,SEASONAL_NORMAL,50
lipstick,makeup,lip makeup,33026,,,,SEASONAL_NORMAL,50
cetaphil,bath body and hair,face wash and scrub,32952,,,,SEASONAL_NORMAL,50
hair colour,beauty and grooming,hair colour,31466,,,,SEASONAL_NORMAL,50
conditioner,bath body and hair,shampoo and conditioner,31438,,,,SEASONAL_NORMAL,50
hair oil,bath body and hair,hair oil and serum,30065,,,,SEASONAL_NORMAL,50
whisper,hygiene and wellness,feminine hygiene,29928,,,,SEASONAL_NORMAL,50
vaseline,bath body and hair,body lotion,29489,,,,SEASONAL_NORMAL,50
perfume,bath body and hair,"perfumes, deos and talc",29225,,,,SEASONAL_NORMAL,50
stayfree,hygiene and wellness,feminine hygiene,28717,,,,SEASONAL_NORMAL,50
l'oreal shampoo,bath body and hair,shampoo and conditioner,28401,,,,SEASONAL_NORMAL,50
face mask,beauty and grooming,face and lip care,28394,,,,SEASONAL_NORMAL,50
dettol,hygiene and wellness,wound care and pain relief,27876,,,,SEASONAL_NORMAL,50
moisturizer,bath body and hair,body lotion,27448,,,,SEASONAL_NORMAL,50
adult diaper,hygiene and wellness,basic pharma,26400,,,,SEASONAL_NORMAL,50
lip gloss,makeup,lip makeup,26198,,,,SEASONAL_NORMAL,50
vicks,hygiene and wellness,basic pharma,25938,,,,SEASONAL_NORMAL,50
dove shampoo,bath body and hair,shampoo and conditioner,24805,,,,SEASONAL_NORMAL,50
pimple patch,beauty and grooming,face and lip care,24486,,,,SEASONAL_NORMAL,50
dove soaps,bath body and hair,soap,24343,,,,SEASONAL_NORMAL,50
facewash,bath body and hair,face wash and scrub,24301,,,,SEASONAL_NORMAL,50
bare anatomy,bath body and hair,shampoo and conditioner,24255,,,,SEASONAL_NORMAL,50
period panties,hygiene and wellness,feminine hygiene,24146,,,,SEASONAL_NORMAL,50
sensodyne,hygiene and wellness,oral care,23912,,,,SEASONAL_NORMAL,50
pears soap,bath body and hair,soap,22984,,,,SEASONAL_NORMAL,50
kajal,makeup,eye makeup,22316,,,,SEASONAL_NORMAL,50
prega news,hygiene and wellness,basic pharma,22289,,,,SEASONAL_NORMAL,50
parachute,bath body and hair,hair oil and serum,22222,,,,SEASONAL_NORMAL,50
pears,bath body and hair,soap,22197,,,,SEASONAL_NORMAL,50
tongue cleaner,hygiene and wellness,oral care,22190,,,,SEASONAL_NORMAL,50
pregnancy test,hygiene and wellness,basic pharma,21986,,,,SEASONAL_NORMAL,50
razor,beauty and grooming,hair removal,21755,,,,SEASONAL_NORMAL,50
nua,hygiene and wellness,feminine hygiene,21556,,,,SEASONAL_NORMAL,50
paste,hygiene and wellness,oral care,21517,,,,SEASONAL_NORMAL,50
pad,hygiene and wellness,feminine hygiene,21516,,,,SEASONAL_NORMAL,50
lip liner,makeup,lip makeup,21476,,,,SEASONAL_NORMAL,50
dove,bath body and hair,soap,21258,,,,SEASONAL_NORMAL,50
mask,hygiene and wellness,basic pharma,20523,,,,SEASONAL_NORMAL,50
loofah,beauty and grooming,beauty accessories,20201,,,,SEASONAL_NORMAL,50
durex condom,hygiene and wellness,sexual wellness,20005,,,,SEASONAL_NORMAL,50
facial kit,beauty and grooming,face and lip care,19941,,,,SEASONAL_NORMAL,50
eyeliner,makeup,eye makeup,19355,,,,SEASONAL_NORMAL,50
nail cutter,makeup,makeup brushes and tools,19306,,,,SEASONAL_NORMAL,50
chemist at play,bath body and hair,shower gel,18960,,,,SEASONAL_NORMAL,50
dettol handwash,hygiene and wellness,hand wash and sanitizer,18932,,,,SEASONAL_NORMAL,50
nivea,bath body and hair,body lotion,18161,,,,SEASONAL_NORMAL,50
roll on,bath body and hair,"perfumes, deos and talc",17930,,,,SEASONAL_NORMAL,50
sofy,hygiene and wellness,feminine hygiene,17462,,,,SEASONAL_NORMAL,50
sanitizer,hygiene and wellness,hand wash and sanitizer,17107,,,,SEASONAL_NORMAL,50
nail paint,makeup,nail paints and accessories,16797,,,,SEASONAL_NORMAL,50
sexual wellness,hygiene and wellness,sexual wellness,16765,,,,SEASONAL_NORMAL,50
brush,hygiene and wellness,oral care,16342,,,,SEASONAL_NORMAL,50
face razor,beauty and grooming,hair removal,15961,,,,SEASONAL_NORMAL,50
mouthwash,hygiene and wellness,oral care,15736,,,,SEASONAL_NORMAL,50
boroline,bath body and hair,face cream,15111,,,,SEASONAL_NORMAL,50
castor oil,bath body and hair,hair oil and serum,14625,,,,SEASONAL_NORMAL,50
vaseline jelly,beauty and grooming,face and lip care,14054,,,,SEASONAL_NORMAL,50
hair mask,bath body and hair,shampoo and conditioner,13757,,,,SEASONAL_NORMAL,50
shower gel,bath body and hair,shower gel,13370,,,,SEASONAL_NORMAL,50
minimalist,bath body and hair,face wash and scrub,12969,,,,SEASONAL_NORMAL,50
mysore sandal,bath body and hair,soap,12389,,,,SEASONAL_NORMAL,50
mysore soap,bath body and hair,soap,11943,,,,SEASONAL_NORMAL,50
moisturising cream,bath body and hair,face cream,11723,,,,SEASONAL_NORMAL,50
sex toys,hygiene and wellness,sexual wellness,11675,,,,SEASONAL_NORMAL,50
face scrub,bath body and hair,face wash and scrub,10981,,,,SEASONAL_NORMAL,50
pilgrim serum,beauty and grooming,face and lip care,10959,,,,SEASONAL_NORMAL,50
nail polish,makeup,nail paints and accessories,10823,,,,SEASONAL_NORMAL,50
dot & key,bath body and hair,face cream,10523,,,,SEASONAL_NORMAL,50
prega kit,hygiene and wellness,basic pharma,10196,,,,SEASONAL_NORMAL,50
face serum,beauty and grooming,face and lip care,10130,,,,SEASONAL_NORMAL,50
moisturising lotion,bath body and hair,body lotion,10084,,,,SEASONAL_NORMAL,50
foundation,makeup,face makeup,10083,,,,SEASONAL_NORMAL,50
serum,beauty and grooming,face and lip care,9929,,,,SEASONAL_NORMAL,50
razor for men,beauty and grooming,shaving needs,9826,,,,SEASONAL_NORMAL,50
gillette blade,beauty and grooming,shaving needs,9758,,,,SEASONAL_NORMAL,50
body scrub,bath body and hair,shower gel,9684,,,,SEASONAL_NORMAL,50
the derma co,bath body and hair,face wash and scrub,9496,,,,SEASONAL_NORMAL,50
anti dandruff,bath body and hair,shampoo and conditioner,9421,,,,SEASONAL_NORMAL,50
face moisturizer,bath body and hair,face cream,9280,,,,SEASONAL_NORMAL,50
cetaphil moisturiser,bath body and hair,body lotion,9263,,,,SEASONAL_NORMAL,50
aloe vera gel,beauty and grooming,face and lip care,9241,,,,SEASONAL_NORMAL,50
mascara,makeup,eye makeup,9241,,,,SEASONAL_NORMAL,50
concealer,makeup,face makeup,8907,,,,SEASONAL_NORMAL,50
mirror,makeup,makeup brushes and tools,8842,,,,SEASONAL_NORMAL,50
ghar soaps,bath body and hair,soap,8569,,,,SEASONAL_NORMAL,50
aloe vera,beauty and grooming,face and lip care,8545,,,,SEASONAL_NORMAL,50
face cream,bath body and hair,face cream,8493,,,,SEASONAL_NORMAL,50
nivea moisturizer,bath body and hair,face cream,8464,,,,SEASONAL_NORMAL,50
himalaya face wash,bath body and hair,face wash and scrub,8443,,,,SEASONAL_NORMAL,50
plum,bath body and hair,fruits,8402,,,,SEASONAL_NORMAL,50
pilgrim shampoo,bath body and hair,shampoo and conditioner,8365,,,,SEASONAL_NORMAL,50
almond oil,bath body and hair,hair oil and serum,8313,,,,SEASONAL_NORMAL,50
sensodyne toothpaste,hygiene and wellness,oral care,8233,,,,SEASONAL_NORMAL,50
hair removal,beauty and grooming,hair removal,7997,,,,SEASONAL_NORMAL,50
durex,hygiene and wellness,sexual wellness,7962,,,,SEASONAL_NORMAL,50
multani mitti,beauty and grooming,face and lip care,7803,,,,SEASONAL_NORMAL,50
shoe polish,beauty and grooming,mens grooming,7799,,,,SEASONAL_NORMAL,50
fair and lovely,bath body and hair,face cream,7638,,,,SEASONAL_NORMAL,50
cotton,makeup,makeup brushes and tools,7473,,,,SEASONAL_NORMAL,50
vitamin c,beauty and grooming,face and lip care,7457,,,,SEASONAL_NORMAL,50
blush,makeup,face makeup,7447,,,,SEASONAL_NORMAL,50
cough syrup,hygiene and wellness,basic pharma,7422,,,,SEASONAL_NORMAL,50
gift for men,bath body and hair,"perfumes, deos and talc",7397,,,,SEASONAL_NORMAL,50
dot and key,bath body and hair,face cream,7307,,,,SEASONAL_NORMAL,50
hair wax,beauty and grooming,mens grooming,7223,,,,SEASONAL_NORMAL,50
mars lipstick,makeup,lip makeup,7213,,,,SEASONAL_NORMAL,50
powder,bath body and hair,"perfumes, deos and talc",7104,,,,SEASONAL_NORMAL,50
plum,bath body and hair,face cream,6995,,,,SEASONAL_NORMAL,50
mars,makeup,milk chocolates,6995,,,,SEASONAL_NORMAL,50
sensodyne toothbrush,hygiene and wellness,oral care,6919,,,,SEASONAL_NORMAL,50
mamaearth,bath body and hair,face wash and scrub,6824,,,,SEASONAL_NORMAL,50
lux soap,bath body and hair,soap,6760,,,,SEASONAL_NORMAL,50
glycerine,beauty and grooming,face and lip care,6759,,,,SEASONAL_NORMAL,50
l'oreal paris,bath body and hair,shampoo and conditioner,6748,,,,SEASONAL_NORMAL,50
perfume men,bath body and hair,"perfumes, deos and talc",6726,,,,SEASONAL_NORMAL,50
hand sanitizer,hygiene and wellness,hand wash and sanitizer,6679,,,,SEASONAL_NORMAL,50
derma roller,beauty and grooming,mens grooming,6567,,,,SEASONAL_NORMAL,50
paradyes,beauty and grooming,hair colour,6464,,,,SEASONAL_NORMAL,50
nail clipper,makeup,makeup brushes and tools,6450,,,,SEASONAL_NORMAL,50
bella vita,bath body and hair,"perfumes, deos and talc",6330,,,,SEASONAL_NORMAL,50
ghar soap,bath body and hair,soap,6321,,,,SEASONAL_NORMAL,50
lip tint,makeup,lip makeup,6252,,,,SEASONAL_NORMAL,50
face pack,beauty and grooming,face and lip care,6240,,,,SEASONAL_NORMAL,50
body oil,bath body and hair,body lotion,6160,,,,SEASONAL_NORMAL,50
bombay shaving company,beauty and grooming,shaving needs,6139,,,,SEASONAL_NORMAL,50
toner,beauty and grooming,face makeup,6120,,,,SEASONAL_NORMAL,50
bellavita perfume,bath body and hair,"perfumes, deos and talc",6111,,,,SEASONAL_NORMAL,50
nails,makeup,nail paints and accessories,6100,,,,SEASONAL_NORMAL,50
electric toothbrush,hygiene and wellness,oral care,6096,,,,SEASONAL_NORMAL,50
hair spray,beauty and grooming,mens grooming,6023,,,,SEASONAL_NORMAL,50
gillette,beauty and grooming,shaving needs,6004,,,,SEASONAL_NORMAL,50
press on nails,makeup,nail paints and accessories,5896,,,,SEASONAL_NORMAL,50
sebamed,bath body and hair,shampoo and conditioner,5877,,,,SEASONAL_NORMAL,50
nail,makeup,nail paints and accessories,5859,,,,SEASONAL_NORMAL,50
simple,bath body and hair,face wash and scrub,5832,,,,SEASONAL_NORMAL,50
pond's,bath body and hair,"perfumes, deos and talc",5736,,,,SEASONAL_NORMAL,50
lipbalm,beauty and grooming,face and lip care,5635,,,,SEASONAL_NORMAL,50
wax,beauty and grooming,hair removal,5402,,,,SEASONAL_NORMAL,50
primer,makeup,face makeup,5255,,,,SEASONAL_NORMAL,50
tresemme shampoo,bath body and hair,shampoo and conditioner,5215,,,,SEASONAL_NORMAL,50
rose water,beauty and grooming,shampoo and conditioner,5202,,,,SEASONAL_NORMAL,50
lens,hygiene and wellness,basic pharma,5196,,,,SEASONAL_NORMAL,50
ketoconozole shampoo,bath body and hair,shampoo and conditioner,5127,,,,SEASONAL_NORMAL,50
mars lip liner,makeup,lip makeup,5113,,,,SEASONAL_NORMAL,50
mehendi,beauty and grooming,hair colour,5081,,,,SEASONAL_NORMAL,50
renee,makeup,eye makeup,5065,,,,SEASONAL_NORMAL,50
pilgrim,beauty and grooming,face and lip care,5052,,,,SEASONAL_NORMAL,50
foxtale,bath body and hair,face and lip care,5045,,,,SEASONAL_NORMAL,50
pilgrim,bath body and hair,face and lip care,5043,,,,SEASONAL_NORMAL,50
spray bottles,makeup,makeup brushes and tools,4906,,,,SEASONAL_NORMAL,50
price drop,hygiene and wellness,basic pharma,4877,,,,SEASONAL_NORMAL,50
fogg,bath body and hair,"perfumes, deos and talc",4854,,,,SEASONAL_NORMAL,50
blade,beauty and grooming,hair removal,4838,,,,SEASONAL_NORMAL,50
rosemary water,bath body and hair,hair oil and serum,4833,,,,SEASONAL_NORMAL,50
spray bottle,makeup,makeup brushes and tools,4815,,,,SEASONAL_NORMAL,50
cetaphil soap,bath body and hair,soap,4815,,,,SEASONAL_NORMAL,50
minoxidil,beauty and grooming,mens grooming,4736,,,,SEASONAL_NORMAL,50
cotton pads,makeup,makeup brushes and tools,4704,,,,SEASONAL_NORMAL,50
bb cream,bath body and hair,face cream,4698,,,,SEASONAL_NORMAL,50
nail glue,makeup,nail paints and accessories,4620,,,,SEASONAL_NORMAL,50
simple wash,bath body and hair,face wash and scrub,4602,,,,SEASONAL_NORMAL,50
hair removal spray,beauty and grooming,hair removal,4522,,,,SEASONAL_NORMAL,50
sex,hygiene and wellness,sexual wellness,4471,,,,SEASONAL_NORMAL,50
cetaphil face wash,bath body and hair,face wash and scrub,4469,,,,SEASONAL_NORMAL,50
nose strip,beauty and grooming,face and lip care,4464,,,,SEASONAL_NORMAL,50
rosemary oil,bath body and hair,hair oil and serum,4461,,,,SEASONAL_NORMAL,50
foxtale,beauty and grooming,face and lip care,4412,,,,SEASONAL_NORMAL,50
eyebrow pencils,makeup,eye makeup,4296,,,,SEASONAL_NORMAL,50
derma co,bath body and hair,face wash and scrub,4240,,,,SEASONAL_NORMAL,50
himalayas,bath body and hair,face wash and scrub,4236,,,,SEASONAL_NORMAL,50
dandruff shampoo,bath body and hair,shampoo and conditioner,4225,,,,SEASONAL_NORMAL,50
mehendi cones,makeup,makeup brushes and tools,4225,,,,SEASONAL_NORMAL,50
pocket perfume,bath body and hair,"perfumes, deos and talc",4219,,,,SEASONAL_NORMAL,50
spray,hygiene and wellness,wound care and pain relief,4199,,,,SEASONAL_NORMAL,50
vaseline lip,beauty and grooming,face and lip care,4168,,,,SEASONAL_NORMAL,50
bandage,hygiene and wellness,wound care and pain relief,4123,,,,SEASONAL_NORMAL,50
panty liner,hygiene and wellness,feminine hygiene,4109,,,,SEASONAL_NORMAL,50
body scrubber,beauty and grooming,beauty accessories,4084,,,,SEASONAL_NORMAL,50
mehendi cones,beauty and grooming,alta,4001,,,,SEASONAL_NORMAL,50
hair removal cream,beauty and grooming,hair removal,3959,,,,SEASONAL_NORMAL,50
